,City_ID,City,Cloudiness,Country,Date,Date Converted,Humidity,Lat,Lng,Max Temp,Wind Speed
134,1651810,Airai,100,TL,1666723303,2022-10-25 18:41:43,93,-8.9266,125.4092,61.95,0.96
135,2063042,Port Hedland,0,AU,1666723304,2022-10-25 18:41:44,77,-20.3167,118.5667,66.25,8.05
136,2017155,Saskylakh,90,RU,1666723304,2022-10-25 18:41:44,100,71.9167,114.0833,-2.47,4.25
137,2126710,Beringovskiy,100,RU,1666723305,2022-10-25 18:41:45,85,63.05,179.3167,21.4,16.13
138,3981391,Tomatlán,78,MX,1666723128,2022-10-25 18:38:48,63,19.9333,-105.25,86.23,6.2
139,779683,Hammerfest,0,NO,1666723305,2022-10-25 18:41:45,69,70.6634,23.6821,32.45,3.44
140,2128975,Nemuro,6,JP,1666723306,2022-10-25 18:41:46,52,43.3236,145.575,44.53,2.93
141,3625710,Upata,98,VE,1666723306,2022-10-25 18:41:46,76,8.0086,-62.3989,90.19,3.18
142,1214488,Meulaboh,100,ID,1666723307,2022-10-25 18:41:47,89,4.1363,96.1285,76.93,4.05
143,2121385,Severo-Kuril'sk,5,RU,1666723095,2022-10-25 18:38:15,66,50.6789,156.125,37.29,7.78
144,2155415,New Norfolk,100,AU,1666723307,2022-10-25 18:41:47,84,-42.7826,147.0587,54.91,5.99
145,5367788,Lompoc,0,US,1666723308,2022-10-25 18:41:48,70,34.6391,-120.4579,71.94,11.5
146,5972291,Havre-St-Pierre,0,CA,1666723308,2022-10-25 18:41:48,67,50.2334,-63.5986,59.36,5.75
147,1791388,Wenzhou,96,CN,1666723309,2022-10-25 18:41:49,67,27.9994,120.6668,61.05,3.18
148,4034496,Fare,100,PF,1666723310,2022-10-25 18:41:50,82,-16.7,-151.0167,79.65,25.3
149,3939761,Hualmay,10,PE,1666723311,2022-10-25 18:41:51,69,-11.0964,-77.6139,66.87,10.98
150,1254046,Tura,61,IN,1666723312,2022-10-25 18:41:52,96,25.5198,90.2201,64.13,2.68
151,542334,Krasnogvardeyskoye,78,RU,1666723313,2022-10-25 18:41:53,54,45.8456,41.5186,51.01,7.34
152,2374583,Bubaque,7,GW,1666723314,2022-10-25 18:41:54,72,11.2833,-15.8333,85.28,11.88
153,319104,Çay,0,TR,1666723314,2022-10-25 18:41:54,47,38.5917,31.0286,53.89,4.05
154,2082539,Merauke,100,ID,1666723317,2022-10-25 18:41:57,85,-8.4667,140.3333,78.39,8.32
155,3453827,Pindobaçu,100,BR,1666723317,2022-10-25 18:41:57,62,-10.7417,-40.3608,80.71,8.88
156,2630299,Hofn,100,IS,1666723318,2022-10-25 18:41:58,80,64.2539,-15.2082,42.31,18.57
157,1507390,Dikson,100,RU,1666723318,2022-10-25 18:41:58,87,73.5069,80.5464,23.29,3.42
158,3580733,Bodden Town,20,KY,1666723167,2022-10-25 18:39:27,63,19.2833,-81.25,88.0,10.36
159,3628473,San Cristobal,100,VE,1666723319,2022-10-25 18:41:59,49,7.7669,-72.225,84.38,5.59
160,3018794,Fécamp,100,FR,1666723319,2022-10-25 18:41:59,66,49.7579,0.3746,62.31,16.24
161,2062276,Roebourne,0,AU,1666723050,2022-10-25 18:37:30,41,-20.7833,117.1333,73.83,8.95
162,2015306,Tiksi,100,RU,1666723064,2022-10-25 18:37:44,92,71.6872,128.8694,17.26,9.84
163,3443061,Chui,1,UY,1666723321,2022-10-25 18:42:01,65,-33.6971,-53.4616,67.71,13.06
164,5850554,Makakilo City,0,US,1666723321,2022-10-25 18:42:01,70,21.3469,-158.0858,80.44,17.27
165,3663517,Livramento,75,BR,1666723322,2022-10-25 18:42:02,89,-3.0254,-60.1803,79.48,2.3
166,4563811,Orocovis,100,PR,1666723322,2022-10-25 18:42:02,88,18.2271,-66.3917,83.32,1.59
167,1283334,Birin,58,NP,1666723323,2022-10-25 18:42:03,92,26.8865,88.0718,55.51,1.19
168,1785974,Yuci,0,CN,1666723324,2022-10-25 18:42:04,66,37.6803,112.7319,47.95,4.47
169,3404558,Cabedelo,100,BR,1666723325,2022-10-25 18:42:05,68,-6.9811,-34.8339,81.27,13.76
170,3355672,Lüderitz,100,NA,1666723032,2022-10-25 18:37:12,64,-26.6481,15.1594,64.4,16.8
171,6144312,Sept-Îles,75,CA,1666723326,2022-10-25 18:42:06,84,50.2001,-66.3821,52.32,5.75
172,2138555,Poum,28,NC,1666723327,2022-10-25 18:42:07,81,-20.2333,164.0167,75.47,9.01
173,1267390,Kavaratti,99,IN,1666723328,2022-10-25 18:42:08,61,10.5669,72.642,82.29,9.42
174,933995,Souillac,40,MU,1666723328,2022-10-25 18:42:08,73,-20.5167,57.5167,71.98,12.66
175,556268,Ostrovnoy,100,RU,1666723329,2022-10-25 18:42:09,81,68.0531,39.5131,30.99,16.35
176,3347019,Mossamedes,64,AO,1666723331,2022-10-25 18:42:11,82,-15.1961,12.1522,70.14,8.93
177,2036069,Linjiang,13,CN,1666723331,2022-10-25 18:42:11,76,41.8069,126.9078,35.2,2.91
178,2662689,Visby,0,SE,1666723332,2022-10-25 18:42:12,88,57.6409,18.296,55.62,13.8
179,3382160,Cayenne,40,GF,1666723333,2022-10-25 18:42:13,66,4.9333,-52.3333,87.84,13.8
180,2514651,Los Llanos de Aridane,40,ES,1666723139,2022-10-25 18:38:59,86,28.6585,-17.9182,69.55,1.14
181,301010,Seydişehir,0,TR,1666723335,2022-10-25 18:42:15,48,37.4193,31.8453,52.0,3.96
182,3893726,Constitución,66,CL,1666723335,2022-10-25 18:42:15,74,-35.3333,-72.4167,60.12,8.28
183,986717,Kruisfontein,100,ZA,1666723302,2022-10-25 18:41:42,78,-34.0033,24.7314,61.88,12.37
184,6148373,Sioux Lookout,75,CA,1666723337,2022-10-25 18:42:17,75,50.1001,-91.917,37.47,12.66
185,4513583,Hamilton,75,US,1666722808,2022-10-25 18:33:28,50,39.1834,-84.5333,76.66,18.41
186,3357804,Eenhana,21,NA,1666723338,2022-10-25 18:42:18,48,-17.4667,16.3333,75.4,5.59
187,1621313,Ambulu,100,ID,1666723339,2022-10-25 18:42:19,87,-8.345,113.6058,76.32,1.28
188,4738723,Uvalde,0,US,1666723340,2022-10-25 18:42:20,24,29.3669,-99.767,74.32,5.75
189,2629833,Husavik,100,IS,1666723340,2022-10-25 18:42:20,87,66.0449,-17.3389,35.56,6.76
